Gene,adj.P.Val,P.Value,t,B,logFC,GB_ACC,SPOT_ID
ITGAE,0.8568,0.4499754,0.758396,-4.9089,0.175288,NM_002208.4,
MAVS,0.8568,0.4531414,-0.753093,-4.9115,-0.097318,NM_020746.3,
CCR4,0.8568,0.4540086,0.751644,-4.9121,0.264513,NM_005508.4,NA
TLR7,0.8568,0.4547384,-0.750426,-4.9127,-0.219552,NM_016562.3,
LCP1,0.8568,0.4547854,0.750347,-4.9128,0.196784,NM_002298.4,
LRRN3,0.8568,0.4549276,0.75011,-4.9129,0.193287,NM_001099660.1,
CD1A,0.8568,0.4549404,0.750089,-4.9129,0.300105,NM_001763.2,
EIF2B4,0.8568,0.4551482,-0.749742,-4.913,-0.077513,NM_172195.3,
IL7R,0.8568,0.4568931,-0.746836,-4.9144,-0.203612,NM_002185.2,
CKLF,0.8568,0.4570576,-0.746562,-4.9145,-0.097726,NM_181640.2,
CD53,0.8568,0.4577779,0.745365,-4.9151,0.236832,NM_001040033.1,
CMA1,0.8568,0.458482,0.744195,-4.9157,0.236371,NM_001836.2,
SLAMF6,0.8568,0.461595,0.739035,-4.9181,0.264211,NM_001184714.1,
GZMB,0.8568,0.4628279,0.736998,-4.919,0.261092,NM_004131.3,
HLA-DQA1,0.8568,0.4631596,0.73645,-4.9193,0.744319,NM_002122.3,
TNFRSF18,0.8568,0.4638103,-0.735376,-4.9198,-0.216172,NM_004195.2,
NEG_B,0.8568,0.4660417,0.7317,-4.9215,0.152419,,ERCC_00041.1
NOTCH1,0.8568,0.4660423,-0.731699,-4.9215,-0.139445,NM_017617.3,
MIF,0.8568,0.4661729,-0.731484,-4.9216,-0.113523,NM_002415.1,
CD209,0.8568,0.4671812,0.729826,-4.9223,0.243626,NM_021155.2,
BMI1,0.8568,0.4676775,-0.729011,-4.9227,-0.112508,NM_005180.5,NA
MSR1,0.8568,0.4678572,0.728716,-4.9228,0.231449,NM_002445.3,
MRC1,0.8568,0.4689224,0.726969,-4.9236,0.258628,NM_002438.2,
NOL7,0.8568,0.469405,-0.726178,-4.924,-0.128094,NM_016167.3,
SMAD2,0.8568,0.4699121,-0.725347,-4.9244,-0.102609,NM_005901.5,
CFD,0.8614,0.4735769,0.719359,-4.9271,0.195101,NM_001928.2,
F2RL1,0.8641,0.4761693,-0.715138,-4.929,-0.311547,NM_005242.3,
IKBKB,0.8641,0.477261,-0.713365,-4.9298,-0.11038,NM_001556.1,
FCER1G,0.8704,0.4818062,0.706005,-4.9331,0.172213,NM_004106.1,
IL18RAP,0.8721,0.4839343,0.702572,-4.9346,0.242504,NM_003853.2,
XCL2,0.8721,0.4850039,0.70085,-4.9354,0.240899,NM_003175.3,
CASP8,0.8858,0.4958142,0.68356,-4.943,0.109578,NM_001228.4,NA
MAGEB2,0.8858,0.4970095,0.681661,-4.9438,0.297938,NM_002364.4,
STAT6,0.8858,0.4974342,-0.680987,-4.9441,-0.071148,NM_003153.3,
PPBP,0.8858,0.4982043,-0.679765,-4.9446,-0.31416,NM_002704.2,
ITGB2,0.8858,0.4999032,0.677073,-4.9458,0.178706,NM_000211.2,
TRAF6,0.8858,0.5002167,0.676577,-4.946,0.081108,NM_145803.1,
