Gene,adj.P.Val,P.Value,t,B,logFC,GB_ACC,SPOT_ID
CSF1,0.9408,0.7881708,-0.269399,-5.0679,-0.092153,NM_000757.4,
MAGEA4,0.9408,0.7900165,0.266994,-5.0683,0.153013,NM_001011548.1,
HLA-E,0.9408,0.7900172,0.266993,-5.0683,0.044406,NM_005516.4,
IRF1,0.9408,0.7907816,-0.265998,-5.0684,-0.057417,NM_002198.1,
LILRA4,0.942,0.7939711,0.261847,-5.0691,0.110917,NM_012276.3,
CNOT4,0.942,0.7942286,0.261512,-5.0692,0.030035,NM_001190848.1,
TRAF2,0.9421,0.7968336,0.258126,-5.0697,0.056852,NM_021138.3,
ITGA2,0.9421,0.7976798,-0.257027,-5.0699,-0.04962,NM_002203.2,
MS4A1,0.9421,0.7979173,0.256718,-5.07,0.171768,NM_152866.2,
TNFRSF13B,0.9431,0.7999634,0.254061,-5.0704,0.130666,NM_012452.2,
C8B,0.9522,0.8088755,0.24251,-5.0722,0.056957,NM_000066.2,NA
CXCL13,0.9522,0.8101132,-0.240908,-5.0725,-0.114286,NM_006419.2,
PRPF38A,0.9567,0.8151374,0.234413,-5.0735,0.020606,NM_032864.3,
CCL11,0.9576,0.8176501,-0.231169,-5.0739,-0.094741,NM_002986.2,NA
TNFSF13B,0.9576,0.8183715,0.230238,-5.0741,0.074614,NM_006573.4,
IL12RB2,0.9596,0.8213233,0.22643,-5.0746,0.092206,NM_001559.2,
CSF1R,0.9608,0.8247075,0.222069,-5.0752,0.052634,NM_005211.2,
VEGFC,0.9608,0.8256917,-0.220801,-5.0754,-0.080895,NM_005429.2,
USP9Y,0.9608,0.8296135,-0.215754,-5.0761,-0.107024,NM_004654.3,
NEG_D,0.9608,0.8301705,0.215038,-5.0762,0.028321,,ERCC_00076.1
IL13RA2,0.9608,0.8307377,0.214308,-5.0763,0.067038,NM_000640.2,
CD4,0.9608,0.8317502,0.213006,-5.0765,0.059527,NM_000616.4,
ADORA2A,0.9608,0.8320247,0.212653,-5.0765,0.046933,NM_000675.3,NA
IL1B,0.9608,0.8350511,-0.208765,-5.0771,-0.082376,NM_000576.2,
MAPK11,0.9608,0.8356692,-0.207971,-5.0772,-0.050227,NM_002751.5,
IL6ST,0.9608,0.8357128,-0.207915,-5.0772,-0.027782,NM_002184.2,
PIK3CG,0.9608,0.8374086,-0.205738,-5.0775,-0.072444,NM_002649.2,
XCR1,0.9608,0.8387125,-0.204065,-5.0777,-0.059954,NM_005283.2,
FAS,0.9608,0.8424265,-0.199302,-5.0783,-0.056441,NM_000043.3,
ITK,0.9608,0.8430039,0.198561,-5.0784,0.076605,NM_005546.3,
TTK,0.9608,0.8466098,0.193942,-5.079,0.03082,NM_003318.3,
ATM,0.9608,0.847654,0.192605,-5.0791,0.063817,NM_000051.3,NA
NFATC1,0.9608,0.8493742,0.190403,-5.0794,0.042019,NM_172389.1,
FCER1A,0.9608,0.8505185,-0.188939,-5.0796,-0.079139,NM_002001.2,
TPSAB1,0.9608,0.8514844,0.187704,-5.0797,0.063339,NM_003294.3,
BST1,0.9608,0.8520908,0.186928,-5.0798,0.058988,NM_004334.2,NA
LAIR2,0.9608,0.854442,-0.183923,-5.0802,-0.051414,NM_002288.3,
ADA,0.9608,0.8553815,0.182722,-5.0803,0.030161,NM_000022.2,NA
HLA-DPB1,0.9608,0.8555809,-0.182467,-5.0803,-0.057862,NM_002121.4,
CD14,0.9608,0.8558162,-0.182166,-5.0804,-0.036128,NM_000591.2,
TNFRSF9,0.9608,0.8578527,0.179565,-5.0807,0.046852,NM_001561.4,
SPN,0.9608,0.8580784,0.179277,-5.0807,0.06466,NM_003123.3,
TNFSF4,0.9608,0.8581097,0.179237,-5.0807,0.052788,NM_003326.2,
CDH5,0.9608,0.8590478,0.178039,-5.0808,0.035831,NM_001795.3,
IGF1R,0.9608,0.859062,-0.178021,-5.0808,-0.026436,NM_000875.2,
PRM1,0.9608,0.8593149,0.177698,-5.0809,0.036906,NM_002761.2,
HLA-DQB1,0.9608,0.8612959,0.17517,-5.0812,0.1029,NM_002123.3,
RELB,0.9608,0.8623524,0.173822,-5.0813,0.035877,NM_006509.2,
PRKCD,0.9608,0.8627542,-0.173309,-5.0814,-0.020935,NM_006254.3,
CD68,0.962,0.8665386,0.168484,-5.0819,0.031521,NM_001251.2,
CCL7,0.962,0.8678493,-0.166814,-5.0821,-0.045003,NM_006273.2,NA
BTLA,0.962,0.8686316,0.165817,-5.0822,0.076368,NM_181780.2,NA
HLA-DMA,0.962,0.8687065,0.165722,-5.0822,0.045314,NM_006120.3,
JAK3,0.9638,0.8723447,-0.161088,-5.0827,-0.042546,NM_000215.2,
CCL21,0.9638,0.8727903,-0.160521,-5.0827,-0.079862,NM_002989.2,NA
HLA-DRA,0.9709,0.8805265,0.150682,-5.0837,0.041805,NM_019111.3,
CYLD,0.9714,0.8821847,0.148575,-5.0839,0.021726,NM_015247.1,
NUP107,0.9717,0.8836687,0.146689,-5.0841,0.022077,NM_020401.2,
ST6GAL1,0.9733,0.8879266,0.141284,-5.0846,0.043265,NM_003032.2,
CXCR2,0.9733,0.8881795,-0.140963,-5.0846,-0.051504,NM_001557.2,
IRF2,0.9733,0.8888414,-0.140123,-5.0847,-0.019349,NM_002199.3,
NLRC5,0.9739,0.8913628,-0.136924,-5.0849,-0.030327,NM_032206.4,
ALAS1,0.9739,0.8921754,0.135893,-5.085,0.015596,NM_000688.4,
TREM1,0.9739,0.893198,-0.134597,-5.0851,-0.064211,NM_018643.3,
SOCS1,0.9754,0.8957731,-0.131332,-5.0854,-0.030496,NM_003745.1,
IL18,0.9779,0.8992966,0.126868,-5.0858,0.035123,NM_001562.2,
CTLA4,0.981,0.9042463,-0.120601,-5.0863,-0.036465,NM_005214.3,
JAM3,0.981,0.9062528,-0.118062,-5.0865,-0.03022,NM_032801.3,
CTSL,0.981,0.9089854,-0.114605,-5.0867,-0.030352,NM_001912.4,
TAP2,0.981,0.9107816,-0.112333,-5.0869,-0.017189,NM_000544.3,
HSD11B1,0.981,0.912448,-0.110226,-5.087,-0.036774,NM_181755.1,
BCL2L1,0.981,0.9150322,-0.10696,-5.0873,-0.015863,NM_001191.2,NA
LCN2,0.981,0.9200599,-0.100609,-5.0877,-0.038255,NM_005564.3,
USP39,0.981,0.9202914,-0.100317,-5.0877,-0.01711,NM_001256725.1,
CAMP,0.981,0.9211267,0.099262,-5.0878,0.029053,NM_004345.3,NA
FLT3LG,0.981,0.921302,0.09904,-5.0878,0.021465,NM_001459.3,
IFI35,0.981,0.9227015,-0.097273,-5.0879,-0.019289,NM_005533.3,
SERPINB2,0.981,0.9229952,0.096903,-5.0879,0.041545,NM_002575.1,
BLNK,0.981,0.9239983,-0.095637,-5.088,-0.030016,NM_013314.2,NA
ATG7,0.981,0.9242221,-0.095354,-5.088,-0.01626,NM_001136031.2,NA
NUBP1,0.981,0.9246414,0.094825,-5.088,0.016838,NM_001278506.1,
SLAMF1,0.981,0.925769,-0.093402,-5.0881,-0.036725,NM_003037.2,
MAGEA3,0.981,0.9258104,0.093349,-5.0881,0.095094,NM_005362.3,
IL16,0.981,0.9258676,-0.093277,-5.0881,-0.033924,NM_004513.4,
CCL19,0.981,0.9276711,0.091002,-5.0883,0.056665,NM_006274.2,NA
FCF1,0.981,0.9283385,-0.09016,-5.0883,-0.010755,NM_015962.4,
CCL27,0.981,0.9295951,0.088574,-5.0884,0.021838,NM_006664.2,NA
TNFRSF14,0.981,0.9299373,-0.088143,-5.0884,-0.017576,NM_003820.2,
S100A12,0.981,0.9319936,-0.085549,-5.0886,-0.046321,NM_005621.1,
IL1RAPL2,0.981,0.9331311,-0.084115,-5.0887,-0.024514,NM_017416.1,
LTK,0.981,0.9340022,0.083017,-5.0887,0.02904,NM_001135685.1,
PASD1,0.981,0.9347319,-0.082097,-5.0888,-0.018041,NM_173493.2,
TNFSF14,0.9812,0.9361353,0.080328,-5.0889,0.02589,NM_003807.3,
CD164,0.9814,0.9382979,-0.077602,-5.089,-0.011517,NM_006016.4,
ITGA4,0.9814,0.9388293,0.076932,-5.089,0.019507,NM_000885.4,
ATG5,0.983,0.9431714,0.071462,-5.0893,0.008502,NM_004849.2,NA
EDC3,0.983,0.9436498,0.070859,-5.0893,0.007659,NM_001142443.1,
IFNB1,0.983,0.9441371,-0.070245,-5.0893,-0.016832,NM_002176.2,
YTHDF2,0.9846,0.9494371,-0.063571,-5.0896,-0.005663,NM_001172828.1,
CRP,0.9846,0.9505959,-0.062112,-5.0897,-0.013002,NM_000567.2,
IL9,0.9846,0.9507569,0.06191,-5.0897,0.010482,NM_000590.1,
TRIM39,0.9846,0.9523912,-0.059852,-5.0898,-0.009593,NM_021253.3,
IL1RL1,0.9846,0.952897,0.059216,-5.0898,0.021929,NM_016232.4,
PBK,0.9846,0.9532292,0.058798,-5.0898,0.020227,NM_018492.2,
FCGR2A,0.9869,0.9575376,-0.053376,-5.09,-0.012517,NM_021642.3,
POLR2A,0.9869,0.9579053,0.052913,-5.09,0.00537,NM_000937.2,
ATG16L1,0.9869,0.9592279,0.051249,-5.0901,0.00532,NM_198890.2,NA
NOD2,0.9911,0.9669529,-0.041533,-5.0904,-0.016955,NM_022162.1,
IRGM,0.9911,0.9685181,0.039565,-5.0904,0.010833,NM_001145805.1,
EPCAM,0.9911,0.9689296,-0.039047,-5.0904,-0.013245,NM_002354.1,
CD36,0.9911,0.9695536,0.038263,-5.0904,0.014492,NM_001001548.2,
ZNF205,0.9911,0.9696021,0.038202,-5.0904,0.007027,NM_001031686.1,
IL22RA2,0.9942,0.973945,0.032742,-5.0906,0.011829,NM_181310.1,
C5,0.9968,0.979363,-0.025931,-5.0907,-0.005287,NM_001735.2,NA
MPPED1,0.9968,0.9801771,-0.024908,-5.0907,-0.013644,NM_001044370.1,
SPINK5,0.9968,0.9803032,0.02475,-5.0907,0.011406,NM_006846.3,
C3,0.9974,0.9833237,0.020954,-5.0908,0.008809,NM_000064.2,NA
NFKB1,0.9974,0.9844883,0.01949,-5.0908,0.003729,NM_003998.2,
LILRB1,0.9974,0.9852074,-0.018587,-5.0908,-0.007758,NM_001081637.1,
PTGDR2,0.9974,0.9859223,-0.017688,-5.0908,-0.004283,NM_004778.1,
CD28,0.9991,0.9907467,0.011626,-5.0909,0.005277,NM_001243078.1,
CD5,0.9991,0.9919585,0.010104,-5.0909,0.002976,NM_014207.2,
CLEC4C,0.9991,0.9920504,0.009988,-5.0909,0.003964,NM_203503.1,
IRF4,0.9991,0.9946837,0.00668,-5.0909,0.002634,NM_002460.1,
IFNAR2,0.9991,0.9967533,-0.004079,-5.0909,-0.000611,NM_000874.3,
FCGR3A,0.9991,0.9973945,-0.003274,-5.0909,-0.001123,NM_000569.6,
TNFRSF1B,0.9991,0.9975569,-0.00307,-5.0909,-0.000624,NM_001066.2,
F13A1,0.9991,0.9978707,-0.002675,-5.0909,-0.000909,NM_000129.3,
CXCL10,0.9998,0.9997947,0.000258,-5.0909,0.000151,NM_001565.1,
